Entity,Identifier
gravy or sauce,obo:FOODON_00001931
greenland halibut,obo:FOODON_00001937
grouse meat,obo:FOODON_00001939
hard wheat,obo:FOODON_00001947
"heavy wine, 14-24% alcohol,",obo:FOODON_00001948
hemp,obo:FOODON_00001949
hops product flavoring,obo:FOODON_00001951
horse meat,obo:FOODON_00001952
hot pepper spice,obo:FOODON_00001955
red pepper,obo:FOODON_00001956
human milk based,obo:FOODON_00001958
hungarian wax pepper pickle,obo:FOODON_00001960
ice cow milk,obo:FOODON_00001961
ice cream product analog,obo:FOODON_00001962
ice goat milk,obo:FOODON_00001963
mammalian ice milk,obo:FOODON_00001964
illipe refined,obo:FOODON_00001966
imitation,obo:FOODON_00001967
imitation fruit juice,obo:FOODON_00001968
imitation fruit preserve or jam,obo:FOODON_00001969
imitation nonalcoholic beverage,obo:FOODON_00001970
insect refined,obo:FOODON_00001974
jack family (or carangidae),obo:FOODON_00001975
jelly condiment,obo:FOODON_00001978
jewfish,obo:FOODON_00001980
kangaroo meat,obo:FOODON_00001982
kegani crab,obo:FOODON_00001984
Hǎidài,obo:FOODON_00001988
dasima (Korean: 다시마),obo:FOODON_00001988
haidai,obo:FOODON_00001988
konbu vegetable,obo:FOODON_00001988
